6721,26871,26248,25702,3066
30014,9213,1335,6481,14270
2106,12680,31056,25969,14202
20144,23594,33115,20080,16564
24149,13489,14270,16564,17626
36917,7562,15258,7581,25150
15520,10026,6481,26871,30172
2045,36917,7990,30818,24832
29760,21775,24732,20067,15216
1321,23594,16761,4923,3078
31796,7581,16977,35670,33118
17593,16125,27304,20934,36035
21302,3960,23450,30822,28207
30198,7581,14463,21752,23450
26248,6721,17593,33558,3671
15696,30266,7696,18908,35964
17626,3564,28036,32253,7419
26248,7581,23450,23476,31433
25505,12086,29965,12293,15076
19584,7990,21834,28896,4722
7419,12869,17626,5002,28036
2585,16761,22689,1335,14968
26248,31433,23450,6721,7581
30198,3899,27847,13069,21511
20144,7581,8420,31002,7296
23450,3759,759,26248,33084
18704,26775,2585,27676,18879
26248,17302,23450,759,16125
24149,16564,23450,10195,6502
26248,21775,6721,21112,353
19584,21834,149,30014,35714
21775,17593,25479,26752,21641
15696,3960,35670,16977,25505
35670,15696,7581,35964,33840
2045,34388,3751,29283,33953
33300,33445,30274,33874,15520
23450,26248,7581,14202,31433
16014,26248,17302,14202,5474
23450,19618,11457,7581,23476
11457,19419,8880,26871,20608
7581,21775,35670,30371,24732
15520,2731,7591,10300,26907
26871,1321,7948,19425,35461
10517,28437,17626,33561,2589
21775,24732,30371,2045,14202
25564,11977,10621,34883,16527
10026,22565,10603,28247,36679
34157,15696,7696,14415,9684
30198,26367,26871,21229,25702
26248,17593,15696,21775,6284
17593,34157,15696,16125,25912
23450,21302,1073,33084,10551
17626,19188,29554,18251,16564
36917,505,26871,34805,7961
30198,25702,26248,10921,26871
26871,25248,33303,20608,35157
26871,10551,36919,627,36998
12094,7110,16125,15992,15520
26871,27769,24838,33874,23817
12450,26607,20325,4936,33764
4800,16959,32843,16977,23983
18593,34157,25479,2450,10427
21302,2585,18704,30371,23868
2045,2450,16942,8966,10715
22965,353,30668,18593,15195
26252,24838,23476,3519,1073
17593,21917,12293,12097,26752
9213,26871,7948,17536,12879
26248,7581,18151,19618,13637
26871,2972,11570,14829,7948
24149,27847,17626,2351,10517
2045,34157,24832,23476,33550
16125,5489,13707,21775,28538
29554,17626,28036,5002,19348
8268,24149,16564,22965,29389
7581,21302,23450,26248,31433
22965,13178,21775,353,7570
3974,29965,26871,14968,16656
30198,13178,16947,7570,3977
21302,3960,14653,24524,10658
7696,9213,23311,16977,18908
26607,35270,1718,12450,4113
30371,32531,19752,28254,6592
30668,24149,18593,17626,27559
26625,31309,7961,24709,26871
16959,35964,30266,4800,30014
16564,10715,4113,8966,33118
7581,32164,8142,2585,36917
7562,36917,22975,32531,17302
21277,23450,23476,22457,5250
16977,21293,7519,7887,25442
20144,18704,26757,10621,15805
627,26871,23594,9213,31506
2450,23569,14178,12869,7729
26871,33874,33303,3407,8880
26871,23817,33874,11977,24709
4113,8966,33118,6502,15258
3066,16959,14201,22959,6721
26871,26340,23569,34215,9183
2106,32571,14202,6502,36925
33581,24397,2752,16959,23073
12863,16761,3123,35461,5504
31056,30804,30668,10195,13489
2045,8966,2450,25809,28762
26756,3519,17099,26252,24838
26871,20608,36919,25702,19618
24149,22965,33138,1378,3519
36035,33874,8880,16125,14322
26871,19425,23450,27784,25702
20144,31056,27154,30804,16564
2045,2450,8966,34278,13516
21834,24724,22689,24356,6481
26248,6721,3066,13473,23450
28200,17536,19901,34278,24561
17593,7581,21302,26248,3407
14202,33334,19425,16161,26775
15606,24832,20907,35687,6284
33827,23466,22689,2003,3671
35670,24758,30409,7581,2752
35670,27304,3960,25950,9232
20144,17173,8996,2585,26757
8880,235,31796,9232,20699
20205,25150,33118,16977,17694
23450,7581,2161,14202,8142
7562,23476,32531,5250,22046
12450,35806,25008,22826,25955
26871,21917,7948,33099,1573
26248,26340,18506,25330,31433
7729,7990,30818,27727,30172
35172,27485,30668,16959,33555
26871,4800,20532,25702,6721
2450,23569,7562,2045,26340
26248,19111,16125,5489,20907
21277,23450,33084,15195,13473
2585,20144,25952,7296,32164
19584,36917,8142,33427,27323
24438,11353,35215,6580,10274
16977,22975,1573,22046,26607
26248,17593,35687,31433,27676
26871,10204,25702,19618,35461
7562,24098,19584,2731,8996
21834,16761,12094,16125,8880
2535,822,11977,24291,24524
26248,26871,31433,18506,6721
6481,24149,31786,21340,14410
28271,26871,7948,24838,7720
29103,22826,34268,14909,25955
30198,26248,24098,4381,10921
24149,22965,26169,16564,14202
26248,17302,35492,2585,7581
13516,27304,12086,20934,17593
30014,22689,21277,15696,23826
21834,8996,16125,2585,17694
26775,26477,8832,26573,27676
7581,15696,6284,22461,35964
26871,19425,14202,25702,6721
26248,19188,15195,27784,6721
7581,35964,16977,12115,33840
26248,23476,8884,23450,23722
7581,35964,19618,16977,30266
7581,30198,26248,25515,10204
13069,7990,6721,33558,1573
26248,7581,17593,35964,15696
26248,6721,21277,23450,17593
22565,29965,2991,12094,23470
31786,3609,26871,30818,30910
21775,35628,21277,26483,21302
22312,12094,1487,26625,31309
5250,19920,28053,17302,35964
9213,6481,4800,31786,23983
31796,3865,8880,11977,18850
24149,31653,7591,31786,3519
26871,3974,9326,19111,26625
21834,19111,26607,15526,34388
26248,17302,35492,22046,7562
11732,33427,31298,28538,12092
3960,7948,35670,21302,28071
15696,34157,15606,33643,24923
35670,27304,15041,34215,13516
22965,13178,2450,18593,19188
31786,12863,6481,9213,34448
2045,13489,30668,7990,2106
27323,19584,18908,9213,36917
7581,23476,18908,21277,33550
10907,26871,627,36919,35461
30668,31056,18908,28762,2364
10551,19618,7581,26871,20234
8442,16125,7415,33300,1073
4939,16959,22312,10517,22959
19111,26607,9774,17593,33558
35670,7581,27304,33840,34157
23450,26871,25623,23476,13473
26625,24709,11977,1321,16272
33840,7110,17593,34567,27306
1321,26625,10621,3123,24709
20934,28247,20562,7110,36354
12450,12115,16977,17694,5250
7712,3066,16959,31550,22959
3499,22965,26752,24524,12293
24149,6481,30172,35705,31786
13489,30668,25623,18908,19348
22689,23476,4722,7887,6481
2045,24832,20907,15216,20390
20476,24397,25569,3324,23073
24098,30198,7570,28650,23450
9213,19584,20144,3974,26625
27304,20934,17593,13516,25950
29283,2450,26756,7729,22965
8327,19111,13069,33840,10921
12450,35806,19557,33801,22826
31786,24149,31653,5312,27827
18908,15216,16977,7956,23476
27304,17593,35670,33840,25248
30371,11156,12869,17173,17302
7519,26871,28271,32897,7948
26871,31786,7961,6481,26625
30014,35964,6481,23450,30266
15041,10921,21354,24698,30198
